"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",2157.113,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",2420.692,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",2640.476,"P"
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1609.868,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1687.991,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1706.301,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",2010.58,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",2145.007,"E"
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2406.813,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",2489.202,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",2718.031,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",2926.323,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",3142.409,"E"
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4594.71,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",4586.261,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4941.134,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",5350.93,"P"
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",5524.902,"P"
"GBR","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3322.345,
"GBR","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",3479.872,
"GBR","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",4151.748,
"GBR","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",4538.693,
"GBR","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",4478.96,"P"
"EST","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1741.731,
"EST","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1826.198,
"EST","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",2105.704,
"EST","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",2355.039,
"EST","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",2344.949,"P"
"LVA","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1114.359,
"LVA","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1217.83,
"LVA","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1417.13,
"LVA","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",2168.46,
"LVA","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",2304.076,"E"
"LTU","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1610.05,
"LTU","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1780.423,
"LTU","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",2019.701,
"LTU","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",2287.322,
"LTU","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",2459.292,"P"
"SVN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2217.519,
"SVN","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",2345.05,
"SVN","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",2541.899,
"SVN","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",2864.648,
"SVN","HEALTHEXP","COMPULSORY","USD_CAP","A","2022",3055.747,"P"
"BGR","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1043.881,
"BGR","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1087.97,
"BGR","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1339.922,
"BGR","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",1604.146,
"HRV","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1543.43,
"HRV","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1673.9,
"HRV","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1817.666,
"HRV","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",2227.836,
"CYP","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1099.073,
"CYP","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1508.425,
"CYP","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",2336.187,
"CYP","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",3292.174,"P"
"MLT","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2394.376,
"MLT","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",2596.762,
"MLT","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",2878.32,
"ROU","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1322.993,
"ROU","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1483.632,
"ROU","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1646.824,
"ROU","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",1867.869,
