"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","HOSPITALSTAY","ACUTE","DAY","A","2019",5.1,"D"
"NLD","HOSPITALSTAY","ACUTE","DAY","A","2020",5.2,"D"
"NLD","HOSPITALSTAY","ACUTE","DAY","A","2021",5.2,"D"
"POL","HOSPITALSTAY","ACUTE","DAY","A","2018",6.7,
"POL","HOSPITALSTAY","ACUTE","DAY","A","2019",6.7,
"POL","HOSPITALSTAY","ACUTE","DAY","A","2020",6.8,
"POL","HOSPITALSTAY","ACUTE","DAY","A","2021",6.9,
"PRT","HOSPITALSTAY","ACUTE","DAY","A","2018",9,
"PRT","HOSPITALSTAY","ACUTE","DAY","A","2019",9.2,
"PRT","HOSPITALSTAY","ACUTE","DAY","A","2020",9.9,
"PRT","HOSPITALSTAY","ACUTE","DAY","A","2021",9.2,"P"
"SVK","HOSPITALSTAY","ACUTE","DAY","A","2018",6.7,
"SVK","HOSPITALSTAY","ACUTE","DAY","A","2019",6.6,
"SVK","HOSPITALSTAY","ACUTE","DAY","A","2020",6.8,
"SVK","HOSPITALSTAY","ACUTE","DAY","A","2021",6.9,
"ESP","HOSPITALSTAY","ACUTE","DAY","A","2018",6,
"ESP","HOSPITALSTAY","ACUTE","DAY","A","2019",6,
"ESP","HOSPITALSTAY","ACUTE","DAY","A","2020",6.4,
"ESP","HOSPITALSTAY","ACUTE","DAY","A","2021",6.3,"P"
"SWE","HOSPITALSTAY","ACUTE","DAY","A","2018",5.5,
"SWE","HOSPITALSTAY","ACUTE","DAY","A","2019",5.5,
"SWE","HOSPITALSTAY","ACUTE","DAY","A","2020",5.3,
"SWE","HOSPITALSTAY","ACUTE","DAY","A","2021",5.4,
"GBR","HOSPITALSTAY","ACUTE","DAY","A","2018",6.1,
"GBR","HOSPITALSTAY","ACUTE","DAY","A","2019",6.2,
"GBR","HOSPITALSTAY","ACUTE","DAY","A","2020",6.5,"E"
"GBR","HOSPITALSTAY","ACUTE","DAY","A","2021",7.1,"E"
"EST","HOSPITALSTAY","ACUTE","DAY","A","2018",6.1,
"EST","HOSPITALSTAY","ACUTE","DAY","A","2019",6.2,
"EST","HOSPITALSTAY","ACUTE","DAY","A","2020",6.1,
"EST","HOSPITALSTAY","ACUTE","DAY","A","2021",6.3,
"SVN","HOSPITALSTAY","ACUTE","DAY","A","2018",6.7,
"SVN","HOSPITALSTAY","ACUTE","DAY","A","2019",6.6,
"SVN","HOSPITALSTAY","ACUTE","DAY","A","2020",6.6,
"SVN","HOSPITALSTAY","ACUTE","DAY","A","2021",6.4,
"LVA","HOSPITALSTAY","ACUTE","DAY","A","2018",6,
"LVA","HOSPITALSTAY","ACUTE","DAY","A","2019",5.9,
"LVA","HOSPITALSTAY","ACUTE","DAY","A","2020",5.9,
"LVA","HOSPITALSTAY","ACUTE","DAY","A","2021",6,
"LTU","HOSPITALSTAY","ACUTE","DAY","A","2018",6.5,
"LTU","HOSPITALSTAY","ACUTE","DAY","A","2019",6.4,
"LTU","HOSPITALSTAY","ACUTE","DAY","A","2020",6.7,
"LTU","HOSPITALSTAY","ACUTE","DAY","A","2021",6.5,
"BGR","HOSPITALSTAY","ACUTE","DAY","A","2019",4.7,
"BGR","HOSPITALSTAY","ACUTE","DAY","A","2020",4.9,
"BGR","HOSPITALSTAY","ACUTE","DAY","A","2021",5.1,
"HRV","HOSPITALSTAY","ACUTE","DAY","A","2018",6.1,
"HRV","HOSPITALSTAY","ACUTE","DAY","A","2019",6,
"HRV","HOSPITALSTAY","ACUTE","DAY","A","2020",5.9,
"HRV","HOSPITALSTAY","ACUTE","DAY","A","2021",5.9,
"ROU","HOSPITALSTAY","ACUTE","DAY","A","2018",5.9,
"ROU","HOSPITALSTAY","ACUTE","DAY","A","2019",5.8,
"ROU","HOSPITALSTAY","ACUTE","DAY","A","2020",6.2,
"ROU","HOSPITALSTAY","ACUTE","DAY","A","2021",6.2,
